Model,Matched_Profiles,Fuzzy_Match_Used,Match_Source,Notes,Color_Code
GV-TVD8810,"M, T, S, G",False,GV-TVD8810,,Green
GV-AVD2700,"T, S, G",True,GV-AVD2700 2MP H.265 Low Lux WDR Pro IR Vandal Proof IP Dome,GV-AVD2700 2MP H.265 Low Lux WDR Pro IR Vandal Proof IP Dome,Green
GV-EBD4711,"T, S, G",True,GV-EBD4711 4MP H.265 4.4x Zoom Low Lux WDR Pro IR Eyeball IP Dome,GV-EBD4711 4MP H.265 4.4x Zoom Low Lux WDR Pro IR Eyeball IP Dome,Green
GV-VD2540,S,True,GV-VD2540 2MP H.264 3x Zoom Super Low Lux WDR IR Vandal Proof IP Dome,GV-VD2540 2MP H.264 3x Zoom Super Low Lux WDR IR Vandal Proof IP Dome,Yellow
84-VD57110,,False,,No matching device found,Red
GV-EFD4700,"T, S",True,GV-EFD4700 4MP H.265 Super Low Lux WDR Pro IR Mini Fixed IP Dome,GV-EFD4700 4MP H.265 Super Low Lux WDR Pro IR Mini Fixed IP Dome,Green
GV-VD2712,"T, S",True,GV-VD2712 2MP H.265 Super Low Lux WDR Pro Motorized IR Vandal proof IP Dome,GV-VD2712 2MP H.265 Super Low Lux WDR Pro Motorized IR Vandal proof IP Dome,Green
GV-MFD2700,"T, S",True,GV-MFD2700 2MP H.265 Super Low Lux WDR Pro IR Mini Fixed IP Dome,GV-MFD2700 2MP H.265 Super Low Lux WDR Pro IR Mini Fixed IP Dome,Green
GV-MFD2700,"T, S",True,GV-MFD2700 2MP H.265 Super Low Lux WDR Pro IR Mini Fixed IP Dome,GV-MFD2700 2MP H.265 Super Low Lux WDR Pro IR Mini Fixed IP Dome,Green
